Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published
"Incendiary (Hollow Crown, #1)",Zoraida Córdova,32,https://www.goodreads.com/book/show/52888729-incendiary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568058171l/52888729._SX50_SY75_.jpg,3.87,"8,679 ",  2020
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,32,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673728072l/77197._SY75_.jpg,4.18,"344,070 ",  1995
"The Rage of Dragons (The Burning, #1)",Evan Winter,32,https://www.goodreads.com/book/show/41952489-the-rage-of-dragons,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553927196l/41952489._SY75_.jpg,4.31,"37,462 ",  2017
"Foundryside (The Founders Trilogy, #1)",Robert Jackson Bennett,32,https://www.goodreads.com/book/show/37173847-foundryside,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520460880l/37173847._SY75_.jpg,4.18,"45,506 ",  2018
Not in Love (ebook),Ali Hazelwood,31,https://www.goodreads.com/book/show/198716261-not-in-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696574108l/198716261._SY75_.jpg,3.66,"136,071 ",  2024
"Daydream (Maple Hills, #3)",Hannah  Grace,31,https://www.goodreads.com/book/show/199798652-daydream,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1699882393l/199798652._SY75_.jpg,4.06,"62,590 ",  2024
"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,31,https://www.goodreads.com/book/show/139391940-the-pumpkin-spice-caf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688031846l/139391940._SY75_.jpg,3.46,"94,009 ",  2023
"Stay with Me (Stay with Me, #1)",Nicole Fiorina,31,https://www.goodreads.com/book/show/46201805-stay-with-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561478128l/46201805._SY75_.jpg,4.05,"16,361 ",  2019
In a Jam (Paperback),Kate Canterbary,31,https://www.goodreads.com/book/show/62597278-in-a-jam,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663242988l/62597278._SY75_.jpg,3.96,"49,767 ",  2022
"When in Rome (When in Rome, #1)",Sarah       Adams,31,https://www.goodreads.com/book/show/60092579-when-in-rome,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649953470l/60092579._SY75_.jpg,3.90,"137,817 ",  2022
"Eat You Alive (Court Legacy, #4)",Eden O'Neill,31,https://www.goodreads.com/book/show/61414054-eat-you-alive,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657370479l/61414054._SY75_.jpg,3.87,"8,558 ",
"That Kind of Guy (Queen's Cove, #1)",Stephanie  Archer,31,https://www.goodreads.com/book/show/122751954-that-kind-of-guy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676649010l/122751954._SY75_.jpg,3.77,"34,759 ",  2021
"Kill Joy (A Good Girl's Guide to Murder, #0.5)",Holly  Jackson,31,https://www.goodreads.com/book/show/55761476-kill-joy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607692980l/55761476._SY75_.jpg,3.78,"114,986 ",  2021
Family of Liars (Hardcover),E. Lockhart,31,https://www.goodreads.com/book/show/59586261-family-of-liars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636570306l/59586261._SY75_.jpg,3.77,"99,573 ",  2022
In My Dreams I Hold a Knife (Hardcover),Ashley Winstead,31,https://www.goodreads.com/book/show/50485649-in-my-dreams-i-hold-a-knife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1669321407l/50485649._SX50_.jpg,3.83,"108,932 ",  2021
Satan's Affair (Kindle Edition),H.D. Carlton,31,https://www.goodreads.com/book/show/57748116-satan-s-affair,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618508877l/57748116._SX50_.jpg,3.71,"94,499 ",  2021
"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,31,https://www.goodreads.com/book/show/53146871-shadow-princess,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570223430l/53146871._SX50_SY75_.jpg,4.28,"131,228 ",  2020
Dark Notes (Paperback),Pam Godwin,31,https://www.goodreads.com/book/show/28435457-dark-notes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456118781l/28435457._SY75_.jpg,3.97,"32,015 ",  2016
"A Veil of Truth and Trickery (The Veiled Realm, #1)",Analeigh Ford,31,https://www.goodreads.com/book/show/57937129-a-veil-of-truth-and-trickery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620073130l/57937129._SX50_.jpg,3.17,"6,773 ",  2021
"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,31,https://www.goodreads.com/book/show/55502861-the-wisteria-society-of-lady-scoundrels,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606749077l/55502861._SX50_.jpg,3.67,"42,388 ",  2021
A Love Letter to Whiskey (Paperback),Kandi Steiner,31,https://www.goodreads.com/book/show/31549837-a-love-letter-to-whiskey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474899327l/31549837._SY75_.jpg,4.14,"27,401 ",  2016
"Glow (The Plated Prisoner, #4)",Raven Kennedy,31,https://www.goodreads.com/book/show/58159316-glow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641240565l/58159316._SY75_.jpg,4.16,"82,902 ",  2022
How It Feels to Float (Hardcover),Helena  Fox,31,https://www.goodreads.com/book/show/41454344-how-it-feels-to-float,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543870046l/41454344._SY75_.jpg,3.83,"18,031 ",  2019
The Alchemist (Paperback),Paulo Coelho,31,https://www.goodreads.com/book/show/18144590-the-alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463l/18144590._SY75_.jpg,3.91,"3,189,586 ",  1988
"Beartown (Beartown, #1)",Fredrik Backman,31,https://www.goodreads.com/book/show/33413128-beartown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482108618l/33413128._SY75_.jpg,4.29,"474,437 ",  2016
My Lovely Wife (Hardcover),Samantha  Downing,31,https://www.goodreads.com/book/show/39796904-my-lovely-wife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530546018l/39796904._SY75_.jpg,3.84,"150,017 ",  2019
History Is All You Left Me (ebook),Adam Silvera,31,https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462807691l/25014114._SY75_.jpg,3.93,"74,838 ",  2017
"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,31,https://www.goodreads.com/book/show/16102004-beautiful-bastard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362258921l/16102004._SY75_.jpg,3.91,"212,527 ",  2013
82년생 김지영 (Hardcover),Cho Nam-Joo,31,https://www.goodreads.com/book/show/35297901-82,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496573952l/35297901._SX50_.jpg,4.17,"157,831 ",  2016
"The Traitor Queen (The Bridge Kingdom, #2)",Danielle L. Jensen,31,https://www.goodreads.com/book/show/211081092-the-traitor-queen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1724256495l/211081092._SY75_.jpg,4.23,"106,613 ",  2020
Salt to the Sea (Hardcover),Ruta Sepetys,31,https://www.goodreads.com/book/show/25614492-salt-to-the-sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437084512l/25614492._SY75_.jpg,4.36,"224,404 ",  2016
Pride and Prejudice (Paperback),Jane Austen,31,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SY75_.jpg,4.29,"4,382,514 ",  1813
"Skyhunter (Skyhunter, #1)",Marie Lu,31,https://www.goodreads.com/book/show/53174067-skyhunter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590598478l/53174067._SY75_.jpg,4.04,"21,664 ",  2020
"The Tiger at Midnight (The Tiger at Midnight Trilogy, #1)",Swati Teerdhala,31,https://www.goodreads.com/book/show/38205303-the-tiger-at-midnight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536943545l/38205303._SY75_.jpg,3.72,"5,455 ",  2019
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,30,https://www.goodreads.com/book/show/15863832-angelfall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464206558l/15863832._SY75_.jpg,4.11,"193,455 ",  2011
None of This Is True (Hardcover),Lisa Jewell,30,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686092508l/62334530._SY75_.jpg,4.12,"666,879 ",  2023
"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,30,https://www.goodreads.com/book/show/123255391-the-graham-effect,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700730648l/123255391._SY75_.jpg,4.20,"154,119 ",  2023
"Until I Get You (Fairview Hockey, #1)",Claire Contreras,30,https://www.goodreads.com/book/show/123159518-until-i-get-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677894355l/123159518._SX50_.jpg,4.02,"47,590 ",  2018
Forget Me Not (Paperback),Julie  Soto,30,https://www.goodreads.com/book/show/61618737-forget-me-not,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667451611l/61618737._SY75_.jpg,3.99,"54,064 ",  2023
