Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published,genre,num_pages,format,key
Turtles All the Way Down,John Green,37,https://www.goodreads.com/book/show/35504431-turtles-all-the-way-down,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503002776l/35504431._SY75_.jpg,3.88,"594,543 ",2017.0,Young Adult,290 pages, Hardcover,turtlesallthewaydownjohngreen
Girls of Paper and Fire,Natasha Ngan,37,https://www.goodreads.com/book/show/34433755-girls-of-paper-and-fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518109125l/34433755._SX50_.jpg,3.81,"55,813 ",2018.0,Fantasy,385 pages, Hardcover,girlsofpaperandfirenatashangan
Ash Princess,Laura Sebastian,37,https://www.goodreads.com/book/show/32505753-ash-princess,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503181967l/32505753._SY75_.jpg,3.87,"70,473 ",2018.0,Fantasy,432 pages, Hardcover,ashprincesslaurasebastian
Between Commitment and Betrayal,Shain Rose,36,https://www.goodreads.com/book/show/63130875-between-commitment-and-betrayal,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691861024l/63130875._SY75_.jpg,3.77,"39,048 ",2023.0,Romance,384 pages, Kindle Edition,betweencommitmentandbetrayalshainrose
Practice Makes Perfect,Sarah       Adams,36,https://www.goodreads.com/book/show/61897968-practice-makes-perfect,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659979546l/61897968._SY75_.jpg,4.01,"151,484 ",2023.0,Romance,335 pages, Paperback,practicemakesperfectsarahadams
The Adventures of Amina al-Sirafi,Shannon Chakraborty,36,https://www.goodreads.com/book/show/61294937-the-adventures-of-amina-al-sirafi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663869260l/61294937._SX50_.jpg,4.27,"54,968 ",2023.0,Fantasy,483 pages, Hardcover,theadventuresofaminaal-sirafishannonchakraborty
Keeping 13,Chloe Walsh,36,https://www.goodreads.com/book/show/42968173-keeping-13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543350886l/42968173._SX50_.jpg,4.51,"153,449 ",2018.0,Romance,938 pages, Kindle Edition,keeping13chloewalsh
A Soul to Keep,Opal Reyne,36,https://www.goodreads.com/book/show/61208877-a-soul-to-keep,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654116758l/61208877._SY75_.jpg,4.11,"50,556 ",2022.0,Fantasy,544 pages, ebook,asoultokeepopalreyne
Remarkably Bright Creatures,Shelby Van Pelt,36,https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651600548l/58733693._SY75_.jpg,4.38,"738,955 ",2022.0,Fiction,368 pages, Hardcover,remarkablybrightcreaturesshelbyvanpelt
If You Could See the Sun,Ann Liang,36,https://www.goodreads.com/book/show/60099660-if-you-could-see-the-sun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644595325l/60099660._SY75_.jpg,4.01,"40,404 ",2022.0,Fantasy,345 pages, Hardcover,ifyoucouldseethesunannliang
One Percent of You,Michelle  Gross,36,https://www.goodreads.com/book/show/43701279-one-percent-of-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555300869l/43701279._SY75_.jpg,4.04,"46,057 ",2019.0,Contemporary,343 pages, Kindle Edition,onepercentofyoumichellegross
One for My Enemy,Olivie Blake,36,https://www.goodreads.com/book/show/43795562-one-for-my-enemy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548922261l/43795562._SY75_.jpg,3.74,"23,933 ",2019.0,Fantasy,427 pages, Kindle Edition,oneformyenemyolivieblake
Set on You,Amy  Lea,36,https://www.goodreads.com/book/show/58784485-set-on-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632497547l/58784485._SX50_.jpg,3.59,"45,859 ",2022.0,Romance,384 pages, Paperback,setonyouamylea
Under One Roof,Ali Hazelwood,36,https://www.goodreads.com/book/show/59651557-under-one-roof,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1721748776l/59651557._SX50_.jpg,3.66,"172,761 ",2022.0,Romance,112 pages, ebook,underoneroofalihazelwood
The North Wind,Alexandria Warwick,36,https://www.goodreads.com/book/show/202934233-the-north-wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701996182l/202934233._SY75_.jpg,3.67,"14,879 ",2022.0,Fantasy,448 pages, Paperback,thenorthwindalexandriawarwick
Wait for It,Mariana Zapata,36,https://www.goodreads.com/book/show/33288638-wait-for-it,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481172517l/33288638._SY75_.jpg,4.29,"101,255 ",2016.0,Romance,418 pages, Kindle Edition,waitforitmarianazapata
Firekeeper’s Daughter,Angeline Boulley,36,https://www.goodreads.com/book/show/52346471-firekeeper-s-daughter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595093218l/52346471._SY75_.jpg,4.33,"170,090 ",2021.0,Young Adult,496 pages, Hardcover,firekeeper’sdaughterangelineboulley
She Gets the Girl,Rachael Lippincott,36,https://www.goodreads.com/book/show/58437812-she-gets-the-girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646845024l/58437812._SY75_.jpg,4.1,"62,683 ",2022.0,Romance,384 pages, Hardcover,shegetsthegirlrachaellippincott
Freestyle,Bea Paige,36,https://www.goodreads.com/book/show/51179865-freestyle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581438950l/51179865._SY75_.jpg,4.05,"10,691 ",2020.0,Reverse Harem,362 pages, Kindle Edition,freestylebeapaige
Redeemed,Lauren Asher,36,https://www.goodreads.com/book/show/206024568-redeemed,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706309608l/206024568._SY75_.jpg,4.36,"70,159 ",2021.0,Romance,482 pages, Kindle Edition,redeemedlaurenasher
Curse of the Wolf King,Tessonja Odette,36,https://www.goodreads.com/book/show/57309054-curse-of-the-wolf-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614878757l/57309054._SY75_.jpg,3.81,"11,829 ",2021.0,Fantasy,356 pages, Kindle Edition,curseofthewolfkingtessonjaodette
Radiance,Grace Draven,36,https://www.goodreads.com/book/show/24473763-radiance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422721500l/24473763._SX50_.jpg,4.0,"62,668 ",2015.0,Fantasy,297 pages, Kindle Edition,radiancegracedraven
Kings of Quarantine,Caroline Peckham,36,https://www.goodreads.com/book/show/52775593-kings-of-quarantine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585459559l/52775593._SY75_.jpg,4.19,"27,676 ",2020.0,Reverse Harem,658 pages, Kindle Edition,kingsofquarantinecarolinepeckham
Gods & Monsters,Shelby Mahurin,36,https://www.goodreads.com/book/show/52535769-gods-monsters,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612546028l/52535769._SY75_.jpg,3.96,"68,374 ",2021.0,Fantasy,624 pages, Kindle Edition,gods&monstersshelbymahurin
Loveless,Alice Oseman,36,https://www.goodreads.com/book/show/42115981-loveless,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590592497l/42115981._SY75_.jpg,4.2,"108,477 ",2020.0,LGBT,433 pages, Paperback,lovelessaliceoseman
Home Before Dark,Riley Sager,36,https://www.goodreads.com/book/show/50833559-home-before-dark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571683410l/50833559._SX50_SY75_.jpg,4.07,"220,511 ",2020.0,Horror,389 pages, Hardcover,homebeforedarkrileysager
After,Anna Todd,36,https://www.goodreads.com/book/show/22557520-after,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438077259l/22557520._SY75_.jpg,3.72,"344,399 ",2014.0,New Adult,582 pages, Paperback,afterannatodd
Wild Love,Elsie Silver,35,https://www.goodreads.com/book/show/199368721-wild-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713345163l/199368721._SY75_.jpg,4.09,"161,358 ",2024.0,Romance,402 pages, Kindle Edition,wildloveelsiesilver
Offside,Avery Keelan,35,https://www.goodreads.com/book/show/208293418-offside,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1707761690l/208293418._SY75_.jpg,3.87,"73,229 ",2019.0,Sports Romance,540 pages, Kindle Edition,offsideaverykeelan
Collide,Bal Khabra,35,https://www.goodreads.com/book/show/197306586-collide,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1692608727l/197306586._SY75_.jpg,3.82,"74,663 ",2023.0,Sports Romance,395 pages, Kindle Edition,collidebalkhabra
Run on Red,Noelle W. Ihli,35,https://www.goodreads.com/book/show/61381555-run-on-red,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656767791l/61381555._SY75_.jpg,3.73,"64,170 ",2022.0,Thriller,291 pages, Kindle Edition,runonrednoellewihli
The House Across the Lake,Riley Sager,35,https://www.goodreads.com/book/show/58909880-the-house-across-the-lake,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639618949l/58909880._SY75_.jpg,3.6,"312,626 ",2022.0,Thriller,369 pages, Kindle Edition,thehouseacrossthelakerileysager
Foul Lady Fortune,Chloe Gong,35,https://www.goodreads.com/book/show/57190453-foul-lady-fortune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1642713157l/57190453._SY75_.jpg,4.23,"27,087 ",2022.0,Fantasy,528 pages, Kindle Edition,foulladyfortunechloegong
Sleet Kitten,S.J. Tilly,35,https://www.goodreads.com/book/show/75571972-sleet-kitten,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672849686l/75571972._SY75_.jpg,3.65,"28,818 ",,Sports Romance,324 pages, Kindle Edition,sleetkittensjtilly
Gallant,Victoria Schwab,35,https://www.goodreads.com/book/show/58064046-gallant,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635862579l/58064046._SX50_.jpg,3.71,"122,334 ",2022.0,Fantasy,338 pages, Hardcover,gallantvictoriaschwab
Shattered Vows,Shain Rose,35,https://www.goodreads.com/book/show/59027403-shattered-vows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644079388l/59027403._SY75_.jpg,3.75,"21,851 ",,Romance,444 pages, Kindle Edition,shatteredvowsshainrose
Convenience Store Woman,Sayaka Murata,35,https://www.goodreads.com/book/show/36739755-convenience-store-woman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680105376l/36739755._SX50_.jpg,3.68,"305,763 ",2016.0,Fiction,163 pages, Hardcover,conveniencestorewomansayakamurata
The Mountain Is You Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,35,https://www.goodreads.com/book/show/53642699-the-mountain-is-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590806892l/53642699._SY75_.jpg,4.08,"70,428 ",2020.0,Self Help,250 pages, Kindle Edition,themountainisyoutransformingself-sabotageintoself-masterybriannawiest
The Wolf and the Woodsman,Ava Reid,35,https://www.goodreads.com/book/show/48915408-the-wolf-and-the-woodsman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614100814l/48915408._SY75_.jpg,3.53,"25,929 ",2021.0,Fantasy,448 pages, Hardcover,thewolfandthewoodsmanavareid
Her Body and Other Parties Stories,Carmen Maria Machado,35,https://www.goodreads.com/book/show/33375622-her-body-and-other-parties,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485266434l/33375622._SX50_.jpg,3.84,"94,679 ",2017.0,Short Stories,248 pages, Paperback,herbodyandotherpartiesstoriescarmenmariamachado
S.,J.J. Abrams,35,https://www.goodreads.com/book/show/17860739-s,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378767595l/17860739._SY75_.jpg,3.86,"26,372 ",2013.0,Fiction,469 pages, Hardcover,sjjabrams
