Title,Author,Num_shelved_booktok,Goodreads URL,Image URL,avg rating,num_ratings,year_published,genre,num_pages,format,key
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1023,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703l/32620332._SY75_.jpg,4.41,"3,340,727 ",2017.0,Fiction,389 pages, Hardcover,sevenhusbandsofevelynhugotaylorjenkinsreid
It Ends with Us,Colleen Hoover,875,https://www.goodreads.com/book/show/27362503-it-ends-with-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688011813l/27362503._SY75_.jpg,4.14,"3,863,992 ",2016.0,Fiction,386 pages, Kindle Edition,itendswithuscolleenhoover
The Song of Achilles,Madeline Miller,806,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533l/13623848._SY75_.jpg,4.32,"1,628,438 ",2011.0,Fantasy,408 pages, Paperback,thesongofachillesmadelinemiller
The Cruel Prince,Holly Black,783,https://www.goodreads.com/book/show/26032825-the-cruel-prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574535986l/26032825._SY75_.jpg,4.03,"1,378,006 ",2018.0,Fantasy,370 pages, Hardcover,thecruelprincehollyblack
A Court of Thorns and Roses,Sarah J. Maas,761,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY75_.jpg,4.18,"3,068,237 ",2015.0,Fantasy,419 pages, Paperback,acourtofthornsandrosessarahjmaas
The Love Hypothesis,Ali Hazelwood,720,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611937942l/56732449._SX50_.jpg,4.13,"1,508,362 ",2021.0,Contemporary,383 pages, Paperback,thelovehypothesisalihazelwood
The Invisible Life of Addie LaRue,Victoria Schwab,655,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864._SY75_.jpg,4.18,"1,178,268 ",2020.0,Fantasy,448 pages, Hardcover,theinvisiblelifeofaddielaruevictoriaschwab
Six of Crows,Leigh Bardugo,611,https://www.goodreads.com/book/show/23437156-six-of-crows,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803l/23437156._SY75_.jpg,4.48,"1,008,395 ",2015.0,Fantasy,480 pages, Hardcover,sixofcrowsleighbardugo
From Blood and Ash,Jennifer L. Armentrout,570,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585598504l/52831200._SX50_.jpg,4.23,"648,299 ",2020.0,Romance,622 pages, ebook,frombloodandashjenniferlarmentrout
"Red, White & Royal Blue",Casey McQuiston,570,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566742512l/41150487._SY75_.jpg,4.08,"1,070,667 ",2019.0,Romance,448 pages, Paperback,"red,white&royalbluecaseymcquiston"
A Good Girl's Guide to Murder,Holly  Jackson,566,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545494980l/40916679._SY75_.jpg,4.32,"1,316,558 ",2019.0,Young Adult,433 pages, Paperback,agoodgirl'sguidetomurderhollyjackson
They Both Die at the End,Adam Silvera,543,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494333138l/33385229._SY75_.jpg,3.76,"785,013 ",2017.0,Young Adult,389 pages, Hardcover,theybothdieattheendadamsilvera
The Inheritance Games,Jennifer Lynn Barnes,532,https://www.goodreads.com/book/show/52439531-the-inheritance-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587396413l/52439531._SY75_.jpg,4.15,"825,954 ",2020.0,Mystery,386 pages, Hardcover,theinheritancegamesjenniferlynnbarnes
Fourth Wing,Rebecca Yarros,527,https://www.goodreads.com/book/show/61431922-fourth-wing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701980900l/61431922._SY75_.jpg,4.57,"2,046,307 ",2023.0,Dragons,517 pages, Hardcover,fourthwingrebeccayarros
Verity,Colleen Hoover,527,https://www.goodreads.com/book/show/59344312-verity,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558l/59344312._SY75_.jpg,4.31,"3,018,593 ",2018.0,Thriller,336 pages, ebook,veritycolleenhoover
Beach Read,Emily Henry,523,https://www.goodreads.com/book/show/52867387-beach-read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SX50_.jpg,4.0,"1,297,599 ",2020.0,Romance,361 pages, Paperback,beachreademilyhenry
People We Meet on Vacation,Emily Henry,519,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618913179l/54985743._SX50_.jpg,3.86,"1,288,658 ",2021.0,Fiction,364 pages, Paperback,peoplewemeetonvacationemilyhenry
Shatter Me,Tahereh Mafi,518,https://www.goodreads.com/book/show/10429045-shatter-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047l/10429045._SY75_.jpg,3.85,"981,921 ",2011.0,Dystopia,338 pages, Hardcover,shattermetaherehmafi
The Spanish Love Deception,Elena  Armas,508,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610900883l/54189398._SY75_.jpg,3.82,"729,544 ",2021.0,Contemporary,487 pages, ebook,thespanishlovedeceptionelenaarmas
Ugly Love,Colleen Hoover,480,https://www.goodreads.com/book/show/17788401-ugly-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632597571l/17788401._SY75_.jpg,4.03,"2,000,733 ",2014.0,Romance,330 pages, Kindle Edition,uglylovecolleenhoover
We Were Liars,E. Lockhart,446,https://www.goodreads.com/book/show/16143347-we-were-liars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402749479l/16143347._SY75_.jpg,3.66,"1,197,948 ",2014.0,Young Adult,242 pages, Kindle Edition,wewereliarselockhart
Twisted Love,Ana Huang,435,https://www.goodreads.com/book/show/55817097-twisted-love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618487915l/55817097._SY75_.jpg,3.72,"1,103,024 ",2021.0,Romance,360 pages, Kindle Edition,twistedloveanahuang
Icebreaker,Hannah  Grace,430,https://www.goodreads.com/book/show/61767292-icebreaker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659045816l/61767292._SY75_.jpg,3.82,"937,655 ",2022.0,Sports Romance,435 pages, Kindle Edition,icebreakerhannahgrace
A Court of Mist and Fury,Sarah J. Maas,426,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620325671l/50659468._SY75_.jpg,4.65,"2,330,636 ",2016.0,Fantasy,626 pages, Paperback,acourtofmistandfurysarahjmaas
Caraval,Stephanie Garber,421,https://www.goodreads.com/book/show/27883214-caraval,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465563623l/27883214._SY75_.jpg,3.98,"615,790 ",2016.0,Fantasy,407 pages, Hardcover,caravalstephaniegarber
Daisy Jones & The Six,Taylor Jenkins Reid,408,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580255154l/40597810._SY75_.jpg,4.2,"1,609,643 ",2019.0,Fiction,368 pages, Hardcover,daisyjones&thesixtaylorjenkinsreid
Throne of Glass,Sarah J. Maas,387,https://www.goodreads.com/book/show/76703559-throne-of-glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566495l/76703559._SY75_.jpg,4.18,"1,754,927 ",2012.0,Young Adult,406 pages, Hardcover,throneofglasssarahjmaas
The Fine Print,Lauren Asher,385,https://www.goodreads.com/book/show/74045390-the-fine-print,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1671865608l/74045390._SY75_.jpg,3.84,"551,228 ",2021.0,Contemporary,448 pages, Paperback,thefineprintlaurenasher
Shadow and Bone,Leigh Bardugo,380,https://www.goodreads.com/book/show/10194157-shadow-and-bone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695l/10194157._SX50_.jpg,3.93,"996,578 ",2012.0,Fantasy,358 pages, Hardcover,shadowandboneleighbardugo
Book Lovers,Emily Henry,377,https://www.goodreads.com/book/show/58690308-book-lovers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638867089l/58690308._SY75_.jpg,4.13,"1,221,175 ",2022.0,Romance,377 pages, Hardcover,bookloversemilyhenry
The Unhoneymooners,Christina Lauren,374,https://www.goodreads.com/book/show/42201431-the-unhoneymooners,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548201335l/42201431._SY75_.jpg,3.91,"937,670 ",2019.0,Contemporary,432 pages, Paperback,theunhoneymoonerschristinalauren
Circe,Madeline Miller,372,https://www.goodreads.com/book/show/35959740-circe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565909496l/35959740._SY75_.jpg,4.23,"1,140,998 ",2018.0,Fantasy,393 pages, Hardcover,circemadelinemiller
Kingdom of the Wicked,Kerri Maniscalco,366,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578938260l/52735921._SX50_SY75_.jpg,3.88,"303,934 ",2020.0,Young Adult,372 pages, Hardcover,kingdomofthewickedkerrimaniscalco
Normal People,Sally Rooney,357,https://www.goodreads.com/book/show/41057294-normal-people,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571423190l/41057294._SY75_.jpg,3.81,"1,520,220 ",2018.0,Fiction,273 pages, Hardcover,normalpeoplesallyrooney
A Touch of Darkness,Scarlett St.  Clair,350,https://www.goodreads.com/book/show/43175155-a-touch-of-darkness,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552653941l/43175155._SY75_.jpg,3.82,"356,867 ",2019.0,Mythology,438 pages, Kindle Edition,atouchofdarknessscarlettstclair
Dance of Thieves,Mary E. Pearson,348,https://www.goodreads.com/book/show/35796008-dance-of-thieves,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505930101l/35796008._SY75_.jpg,4.13,"159,710 ",2018.0,Romance,512 pages, Hardcover,danceofthievesmaryepearson
The Midnight Library,Matt Haig,347,https://www.goodreads.com/book/show/52578297-the-midnight-library,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253l/52578297._SY75_.jpg,3.99,"1,958,017 ",2020.0,Fiction,288 pages, Hardcover,themidnightlibrarymatthaig
The Hating Game,Sally  Thorne,346,https://www.goodreads.com/book/show/27213238-the-hating-game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481566824l/27213238._SY75_.jpg,3.88,"750,410 ",2016.0,Romance,365 pages, Paperback,thehatinggamesallythorne
Red Queen,Victoria Aveyard,344,https://www.goodreads.com/book/show/22328546-red-queen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449778912l/22328546._SY75_.jpg,4.0,"1,059,585 ",2015.0,Young Adult,388 pages, Hardcover,redqueenvictoriaaveyard
Things We Never Got Over,Lucy Score,338,https://www.goodreads.com/book/show/60060431-things-we-never-got-over,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641629293l/60060431._SY75_.jpg,4.15,"885,109 ",2022.0,Contemporary,572 pages, Kindle Edition,thingswenevergotoverlucyscore
It Happened One Summer,Tessa Bailey,338,https://www.goodreads.com/book/show/55659629-it-happened-one-summer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604991895l/55659629._SY75_.jpg,3.94,"614,318 ",2021.0,Contemporary,397 pages, Paperback,ithappenedonesummertessabailey
House of Earth and Blood,Sarah J. Maas,337,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559142847l/44778083._SY75_.jpg,4.47,"808,858 ",2020.0,Romance,803 pages, Hardcover,houseofearthandbloodsarahjmaas
These Violent Delights,Chloe Gong,334,https://www.goodreads.com/book/show/50892212-these-violent-delights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580958058l/50892212._SY75_.jpg,3.83,"153,666 ",2020.0,Historical Fiction,449 pages, Hardcover,theseviolentdelightschloegong
Punk 57,Penelope Douglas,323,https://www.goodreads.com/book/show/41021967-punk-57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689301728l/41021967._SY75_.jpg,3.77,"448,836 ",2016.0,New Adult,343 pages, Kindle Edition,punk57penelopedouglas
The Atlas Six,Olivie Blake,322,https://www.goodreads.com/book/show/50520939-the-atlas-six,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1714503138l/50520939._SY75_.jpg,3.59,"229,644 ",2020.0,Fantasy,556 pages, Kindle Edition,theatlassixolivieblake
A Court of Wings and Ruin,Sarah J. Maas,320,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585623092l/50659472._SX50_.jpg,4.48,"1,940,609 ",2017.0,Fantasy,703 pages, Paperback,acourtofwingsandruinsarahjmaas
Haunting Adeline,H.D. Carlton,314,https://www.goodreads.com/book/show/58763686-haunting-adeline,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628900532l/58763686._SX50_.jpg,3.96,"582,183 ",2021.0,Dark,583 pages, Kindle Edition,hauntingadelinehdcarlton
The Deal,Elle Kennedy,313,https://www.goodreads.com/book/show/45484397-the-deal,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557156071l/45484397._SY75_.jpg,4.23,"804,518 ",2015.0,Romance,360 pages, Paperback,thedealellekennedy
A Little Life,Hanya Yanagihara,306,https://www.goodreads.com/book/show/22822858-a-little-life,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446469353l/22822858._SY75_.jpg,4.32,"717,515 ",2015.0,Fiction,720 pages, Hardcover,alittlelifehanyayanagihara
A Court of Silver Flames,Sarah J. Maas,305,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602570691l/53138095._SY75_.jpg,4.47,"1,424,466 ",2021.0,Fantasy,757 pages, Hardcover,acourtofsilverflamessarahjmaas
If We Were Villains,M.L. Rio,293,https://www.goodreads.com/book/show/30319086-if-we-were-villains,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480717682l/30319086._SY75_.jpg,4.14,"312,158 ",2017.0,Mystery,354 pages, Hardcover,ifwewerevillainsmlrio
Love and Other Words,Christina Lauren,291,https://www.goodreads.com/book/show/36206591-love-and-other-words,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667534514l/36206591._SY75_.jpg,4.25,"651,225 ",2018.0,Romance,432 pages, Hardcover,loveandotherwordschristinalauren
Serpent & Dove,Shelby Mahurin,291,https://www.goodreads.com/book/show/40024139-serpent-dove,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549476128l/40024139._SY75_.jpg,3.99,"313,404 ",2019.0,Young Adult,513 pages, Hardcover,serpent&doveshelbymahurin
The Priory of the Orange Tree,Samantha    Shannon,289,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700221964l/40275288._SY75_.jpg,4.19,"227,566 ",2019.0,Fantasy,848 pages, Kindle Edition,theprioryoftheorangetreesamanthashannon
The Secret History,Donna Tartt,279,https://www.goodreads.com/book/show/29044.The_Secret_History,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846l/29044._SY75_.jpg,4.17,"817,461 ",1992.0,Fiction,559 pages, Paperback,thesecrethistorydonnatartt
Neon Gods,Katee Robert,276,https://www.goodreads.com/book/show/54659771-neon-gods,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610505010l/54659771._SX50_.jpg,3.7,"265,197 ",2021.0,Fantasy,380 pages, Paperback,neongodskateerobert
November 9,Colleen Hoover,274,https://www.goodreads.com/book/show/25111004-november-9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447138036l/25111004._SY75_.jpg,4.13,"1,172,333 ",2015.0,,,,november9colleenhoover
The Wicked King,Holly Black,272,https://www.goodreads.com/book/show/26032887-the-wicked-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520620414l/26032887._SY75_.jpg,4.29,"855,978 ",2019.0,Fantasy,336 pages, ebook,thewickedkinghollyblack
The Silent Patient,Alex Michaelides,270,https://www.goodreads.com/book/show/40097951-the-silent-patient,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668782119l/40097951._SY75_.jpg,4.18,"2,488,367 ",2019.0,Thriller,336 pages, Hardcover,thesilentpatientalexmichaelides
Once Upon a Broken Heart,Stephanie Garber,268,https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615486938l/55987278._SY75_.jpg,4.06,"397,943 ",2021.0,Fantasy,408 pages, Hardcover,onceuponabrokenheartstephaniegarber
The Shadows Between Us,Tricia Levenseller,267,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558027905l/35702241._SY75_.jpg,3.83,"187,880 ",2020.0,Fantasy,326 pages, Hardcover,theshadowsbetweenustricialevenseller
Archer's Voice,Mia Sheridan,265,https://www.goodreads.com/book/show/32822135-archer-s-voice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656593818l/32822135._SY75_.jpg,4.2,"534,877 ",2014.0,Romance,377 pages, ebook,archer'svoicemiasheridan
Twisted Games,Ana Huang,260,https://www.goodreads.com/book/show/56653002-twisted-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625752847l/56653002._SY75_.jpg,4.1,"742,915 ",2021.0,Romance,456 pages, Kindle Edition,twistedgamesanahuang
Daughter of the Pirate King,Tricia Levenseller,259,https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483132546l/33643994._SY75_.jpg,3.95,"209,615 ",2017.0,Fantasy,308 pages, Hardcover,daughterofthepiratekingtricialevenseller
One of Us Is Lying,Karen M. McManus,254,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632078539l/58679358._SY75_.jpg,3.93,"912,385 ",2017.0,Mystery,416 pages, Hardcover,oneofusislyingkarenmmcmanus
Hooked,Emily McIntire,252,https://www.goodreads.com/book/show/58545703-hooked,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629119366l/58545703._SY75_.jpg,3.79,"363,594 ",2021.0,Fantasy,312 pages, ebook,hookedemilymcintire
Divine Rivals,Rebecca   Ross,248,https://www.goodreads.com/book/show/60784546-divine-rivals,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655928079l/60784546._SY75_.jpg,4.19,"516,368 ",2023.0,Romance,357 pages, Hardcover,divinerivalsrebeccaross
It Starts with Us,Colleen Hoover,246,https://www.goodreads.com/book/show/60393672-it-starts-with-us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644605295l/60393672._SY75_.jpg,3.86,"1,737,426 ",2022.0,Romance,323 pages, Paperback,itstartswithuscolleenhoover
Credence,Penelope Douglas,246,https://www.goodreads.com/book/show/49084724-credence,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576590268l/49084724._SX50_.jpg,3.68,"401,033 ",2020.0,Romance,560 pages, Paperback,credencepenelopedouglas
Gild,Raven Kennedy,245,https://www.goodreads.com/book/show/56483061-gild,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609357436l/56483061._SY75_.jpg,3.59,"181,294 ",2020.0,Fantasy,402 pages, Kindle Edition,gildravenkennedy
Legendborn,Tracy Deonn,245,https://www.goodreads.com/book/show/50892338-legendborn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598382979l/50892338._SY75_.jpg,4.33,"148,717 ",2020.0,Fantasy,502 pages, Hardcover,legendborntracydeonn
Powerless,Lauren  Roberts,244,https://www.goodreads.com/book/show/75513900-powerless,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672676191l/75513900._SX50_.jpg,4.21,"411,866 ",2023.0,Fantasy,523 pages, Kindle Edition,powerlesslaurenroberts
The Awakening,Caroline Peckham,241,https://www.goodreads.com/book/show/46261182-the-awakening,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560277389l/46261182._SY75_.jpg,3.86,"206,190 ",2019.0,Fantasy,436 pages, Kindle Edition,theawakeningcarolinepeckham
Better than the Movies,Lynn Painter,240,https://www.goodreads.com/book/show/55710822-better-than-the-movies,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618150545l/55710822._SY75_.jpg,4.29,"470,951 ",2021.0,Romance,356 pages, Hardcover,betterthanthemovieslynnpainter
Crooked Kingdom,Leigh Bardugo,240,https://www.goodreads.com/book/show/22299763-crooked-kingdom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172607l/22299763._SY75_.jpg,4.59,"678,684 ",2016.0,Fantasy,561 pages, Kindle Edition,crookedkingdomleighbardugo
Malibu Rising,Taylor Jenkins Reid,238,https://www.goodreads.com/book/show/55404546-malibu-rising,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618293107l/55404546._SY75_.jpg,4.03,"1,115,535 ",2021.0,Fiction,369 pages, Hardcover,maliburisingtaylorjenkinsreid
The Serpent and the Wings of Night,Carissa Broadbent,236,https://www.goodreads.com/book/show/60714999-the-serpent-and-the-wings-of-night,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711665394l/60714999._SY75_.jpg,4.32,"429,504 ",2022.0,Romance,504 pages, Kindle Edition,theserpentandthewingsofnightcarissabroadbent
The Queen of Nothing,Holly Black,235,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553624975l/26032912._SX50_.jpg,4.35,"770,526 ",2019.0,Fantasy,321 pages, ebook,thequeenofnothinghollyblack
We Hunt the Flame,Hafsah Faizal,234,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551185822l/36492488._SY75_.jpg,3.88,"98,814 ",2019.0,Fantasy,472 pages, Hardcover,wehunttheflamehafsahfaizal
The House in the Cerulean Sea,T.J. Klune,231,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569514209l/45047384._SY75_.jpg,4.4,"713,338 ",2020.0,Fantasy,394 pages, Kindle Edition,thehouseintheceruleanseatjklune
The Sweetest Oblivion,Danielle Lori,230,https://www.goodreads.com/book/show/39083635-the-sweetest-oblivion,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528339619l/39083635._SX50_.jpg,4.03,"279,952 ",2018.0,Romance,384 pages, Paperback,thesweetestobliviondaniellelori
A Court of Frost and Starlight,Sarah J. Maas,229,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585622963l/50659471._SX50_.jpg,3.75,"1,494,991 ",2018.0,Fantasy,232 pages, Paperback,acourtoffrostandstarlightsarahjmaas
The Selection,Kiera Cass,225,https://www.goodreads.com/book/show/10507293-the-selection,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293._SY75_.jpg,4.08,"1,616,906 ",2012.0,Romance,336 pages, Hardcover,theselectionkieracass
If He Had Been With Me,Laura Nowlin,218,https://www.goodreads.com/book/show/15835031-if-he-had-been-with-me,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348497394l/15835031._SX50_.jpg,3.81,"421,340 ",2013.0,Romance,336 pages, Paperback,ifhehadbeenwithmelauranowlin
The Kiss Quotient,Helen Hoang,215,https://www.goodreads.com/book/show/36199084-the-kiss-quotient,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688188444l/36199084._SY75_.jpg,3.89,"459,366 ",2018.0,Romance,323 pages, Kindle Edition,thekissquotienthelenhoang
Reminders of Him,Colleen Hoover,209,https://www.goodreads.com/book/show/58341222-reminders-of-him,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627673942l/58341222._SX50_.jpg,4.36,"1,328,948 ",2022.0,Fiction,335 pages, Kindle Edition,remindersofhimcolleenhoover
A Thousand Boy Kisses,Tillie Cole,208,https://www.goodreads.com/book/show/25912358-a-thousand-boy-kisses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453299050l/25912358._SX50_.jpg,4.07,"356,898 ",2016.0,Romance,316 pages, ebook,athousandboykissestilliecole
Where the Crawdads Sing,Delia Owens,203,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582135294l/36809135._SY75_.jpg,4.38,"3,185,235 ",2018.0,Fiction,384 pages, ebook,wherethecrawdadssingdeliaowens
The Poppy War,R.F. Kuang,199,https://www.goodreads.com/book/show/35068705-the-poppy-war,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515691735l/35068705._SY75_.jpg,4.17,"306,600 ",2018.0,Fantasy,545 pages, ebook,thepoppywarrfkuang
Love on the Brain,Ali Hazelwood,197,https://www.goodreads.com/book/show/59571699-love-on-the-brain,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657897729l/59571699._SY75_.jpg,3.91,"503,636 ",2022.0,Contemporary,368 pages, ebook,loveonthebrainalihazelwood
The Bridge Kingdom,Danielle L. Jensen,197,https://www.goodreads.com/book/show/211081101-the-bridge-kingdom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1719851662l/211081101._SY75_.jpg,4.04,"156,375 ",2018.0,Fantasy,448 pages, Paperback,thebridgekingdomdanielleljensen
Den of Vipers,K.A. Knight,193,https://www.goodreads.com/book/show/53544752-den-of-vipers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590642046l/53544752._SX50_.jpg,3.64,"172,308 ",2020.0,Reverse Harem,654 pages, Kindle Edition,denofviperskaknight
To Kill a Kingdom,Alexandra Christo,192,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524322945l/34499221._SY75_.jpg,3.73,"192,545 ",2018.0,Fantasy,344 pages, Hardcover,tokillakingdomalexandrachristo
Birthday Girl,Penelope Douglas,189,https://www.goodreads.com/book/show/39555142-birthday-girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523361696l/39555142._SY75_.jpg,3.94,"364,975 ",2018.0,Romance,349 pages, ebook,birthdaygirlpenelopedouglas
Ninth House,Leigh Bardugo,188,https://www.goodreads.com/book/show/43263680-ninth-house,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553102141l/43263680._SY75_.jpg,4.02,"338,201 ",2019.0,Fantasy,461 pages, Hardcover,ninthhouseleighbardugo
